year,city,country,avg_temp,global_avg_temp
1856,Abuja,Nigeria,26.93,8.00
1857,Abuja,Nigeria,24.67,7.76
1858,Abuja,Nigeria,25.87,8.10
1859,Abuja,Nigeria,25.31,8.25
1860,Abuja,Nigeria,25.52,7.96
1861,Abuja,Nigeria,25.56,7.85
1862,Abuja,Nigeria,26.94,7.56
1863,Abuja,Nigeria,,8.11
1864,Abuja,Nigeria,,7.98
1865,Abuja,Nigeria,,8.18
1866,Abuja,Nigeria,,8.29
1867,Abuja,Nigeria,,8.44
1868,Abuja,Nigeria,,8.25
1869,Abuja,Nigeria,,8.43
1870,Abuja,Nigeria,,8.20
1871,Abuja,Nigeria,,8.12
1872,Abuja,Nigeria,,8.19
1873,Abuja,Nigeria,25.77,8.35
1874,Abuja,Nigeria,25.80,8.43
1875,Abuja,Nigeria,25.42,7.86
1876,Abuja,Nigeria,25.72,8.08
1877,Abuja,Nigeria,25.97,8.54
1878,Abuja,Nigeria,25.98,8.83
1879,Abuja,Nigeria,25.36,8.17
1880,Abuja,Nigeria,25.60,8.12
1881,Abuja,Nigeria,25.93,8.27
1882,Abuja,Nigeria,25.58,8.13
1883,Abuja,Nigeria,25.90,7.98
1884,Abuja,Nigeria,26.07,7.77
1885,Abuja,Nigeria,24.84,7.92
1886,Abuja,Nigeria,25.38,7.95
1887,Abuja,Nigeria,24.82,7.91
1888,Abuja,Nigeria,25.15,8.09
1889,Abuja,Nigeria,25.21,8.32
1890,Abuja,Nigeria,24.48,7.97
1891,Abuja,Nigeria,25.02,8.02
1892,Abuja,Nigeria,25.21,8.07
1893,Abuja,Nigeria,25.21,8.06
1894,Abuja,Nigeria,25.38,8.16
1895,Abuja,Nigeria,25.58,8.15
1896,Abuja,Nigeria,25.46,8.21
1897,Abuja,Nigeria,25.93,8.29
1898,Abuja,Nigeria,25.43,8.18
1899,Abuja,Nigeria,25.83,8.40
1900,Abuja,Nigeria,25.95,8.50
1901,Abuja,Nigeria,25.84,8.54
1902,Abuja,Nigeria,25.52,8.30
1903,Abuja,Nigeria,25.50,8.22
1904,Abuja,Nigeria,25.07,8.09
1905,Abuja,Nigeria,25.40,8.23
1906,Abuja,Nigeria,25.63,8.38
1907,Abuja,Nigeria,25.35,7.95
1908,Abuja,Nigeria,25.63,8.19
1909,Abuja,Nigeria,25.86,8.18
1910,Abuja,Nigeria,25.78,8.22
1911,Abuja,Nigeria,25.53,8.18
1912,Abuja,Nigeria,25.65,8.17
1913,Abuja,Nigeria,26.21,8.30
1914,Abuja,Nigeria,26.37,8.59
1915,Abuja,Nigeria,26.12,8.59
1916,Abuja,Nigeria,25.92,8.23
1917,Abuja,Nigeria,26.64,8.02
1918,Abuja,Nigeria,25.93,8.13
1919,Abuja,Nigeria,26.50,8.38
1920,Abuja,Nigeria,25.94,8.36
1921,Abuja,Nigeria,26.31,8.57
1922,Abuja,Nigeria,26.36,8.41
1923,Abuja,Nigeria,26.11,8.42
1924,Abuja,Nigeria,26.41,8.51
1925,Abuja,Nigeria,25.79,8.53
1926,Abuja,Nigeria,26.48,8.73
1927,Abuja,Nigeria,26.36,8.52
1928,Abuja,Nigeria,26.33,8.63
1929,Abuja,Nigeria,26.09,8.24
1930,Abuja,Nigeria,26.48,8.63
1931,Abuja,Nigeria,26.82,8.72
1932,Abuja,Nigeria,26.25,8.71
1933,Abuja,Nigeria,26.50,8.34
1934,Abuja,Nigeria,26.31,8.63
1935,Abuja,Nigeria,26.47,8.52
1936,Abuja,Nigeria,26.37,8.55
1937,Abuja,Nigeria,26.44,8.70
1938,Abuja,Nigeria,26.63,8.86
1939,Abuja,Nigeria,26.08,8.76
1940,Abuja,Nigeria,26.45,8.76
1941,Abuja,Nigeria,26.99,8.77
1942,Abuja,Nigeria,26.76,8.73
1943,Abuja,Nigeria,26.28,8.76
1944,Abuja,Nigeria,26.48,8.85
1945,Abuja,Nigeria,26.34,8.58
1946,Abuja,Nigeria,26.26,8.68
1947,Abuja,Nigeria,26.60,8.80
1948,Abuja,Nigeria,26.04,8.75
1949,Abuja,Nigeria,26.45,8.59
1950,Abuja,Nigeria,26.21,8.37
1951,Abuja,Nigeria,26.20,8.63
1952,Abuja,Nigeria,26.09,8.64
1953,Abuja,Nigeria,26.23,8.87
1954,Abuja,Nigeria,25.95,8.56
1955,Abuja,Nigeria,25.91,8.63
1956,Abuja,Nigeria,25.93,8.28
1957,Abuja,Nigeria,26.12,8.73
1958,Abuja,Nigeria,26.37,8.77
1959,Abuja,Nigeria,26.31,8.73
1960,Abuja,Nigeria,26.19,8.58
